,vote_type,proposal_id,title,voted_choice,voting_power
197,token_house,0xac7ba616ebee96930f313ddb4b75de9024ff88f17bf3c82ca783d904ab38d551,Season 2 Governance Fund Proposal: Bankless Academy v2 ,AGAINST,311181.2615139253
198,token_house,0xac7ba616ebee96930f313ddb4b75de9024ff88f17bf3c82ca783d904ab38d551,Season 2 Governance Fund Proposal: Bankless Academy v2 ,ABSTAIN,189723.96747296976
199,token_house,0xb321a0cb19147a75ccca41d482594d785673b767593a0d25964c7ec9a3358128,Proposal H: Governance Phase 1 - Overnight.fi ,AGAINST,15324619.919129882
200,token_house,0xb321a0cb19147a75ccca41d482594d785673b767593a0d25964c7ec9a3358128,Proposal H: Governance Phase 1 - Overnight.fi ,FOR,935682.0100732546
201,token_house,0xb321a0cb19147a75ccca41d482594d785673b767593a0d25964c7ec9a3358128,Proposal H: Governance Phase 1 - Overnight.fi ,ABSTAIN,868931.0282783511
202,token_house,0xb4e35ca76ff5696570631fe3ae38fd8c268a081e1b0f0a7614d1779a4ebdbc33,Proposal L: Governance Fund Phase 1 - Beefy,AGAINST,16379171.667115098
203,token_house,0xb4e35ca76ff5696570631fe3ae38fd8c268a081e1b0f0a7614d1779a4ebdbc33,Proposal L: Governance Fund Phase 1 - Beefy,FOR,927988.9776589527
204,token_house,0xb4e35ca76ff5696570631fe3ae38fd8c268a081e1b0f0a7614d1779a4ebdbc33,Proposal L: Governance Fund Phase 1 - Beefy,ABSTAIN,47273.23271613636
205,token_house,0xb6054ed78153c9112cac5dd3fbd234481c9961bfcbf665e645754f2e6c8b286b,Season 2: Cycle 7: Karma (Discourse Form Plugin),FOR,11585194.743229635
206,token_house,0xb6054ed78153c9112cac5dd3fbd234481c9961bfcbf665e645754f2e6c8b286b,Season 2: Cycle 7: Karma (Discourse Form Plugin),ABSTAIN,482045.48678926355
207,token_house,0xb6054ed78153c9112cac5dd3fbd234481c9961bfcbf665e645754f2e6c8b286b,Season 2: Cycle 7: Karma (Discourse Form Plugin),AGAINST,356997.26765969535
208,token_house,0xb7a9f7487ed183c049514c01328321fafe561b6ad50896b083ffdd608237c23b,Proposal G: Governance Phase 1 - Beefy Finance,FOR,17288334.921562076
209,token_house,0xb7a9f7487ed183c049514c01328321fafe561b6ad50896b083ffdd608237c23b,Proposal G: Governance Phase 1 - Beefy Finance,AGAINST,1178721.655149531
210,token_house,0xb7a9f7487ed183c049514c01328321fafe561b6ad50896b083ffdd608237c23b,Proposal G: Governance Phase 1 - Beefy Finance,ABSTAIN,350343.0046184438
211,token_house,0xbdfed349a52173ccf3ddf96ecfd5e1cc23885e85b615093abd9bad16dac38885,Proposal N: Governance Fund Phase 1 - Thales,AGAINST,12205605.418576002
